filename,character,dialogue,scene
S07E24 Friends Special The Stuff Youve Never Seen.txt,Lisa,From time to time.,3
S07E24 Friends Special The Stuff Youve Never Seen.txt,Lisa,Everybody.,15
S07E24 Friends Special The Stuff Youve Never Seen.txt,Lisa,"Do I? Absolutely. Absolutely. Yeah, that’s your fault. I…say.",21
S07E24 Friends Special The Stuff Youve Never Seen.txt,Lisa,I love you.,22
S07E24 Friends Special The Stuff Youve Never Seen.txt,Lisa,Oh yeah!,39
S07E24 Friends Special The Stuff Youve Never Seen.txt,Lisa,But le Blanc really doesn’t mess up much.,42
S07E24 Friends Special The Stuff Youve Never Seen.txt,Lisa,"Okay, shh yeah. ‘Cause it’s not silly.",65
S07E24 Friends Special The Stuff Youve Never Seen.txt,Lisa,Yeah.,68
