filename,character,dialogue,scene
S03E24 The Ultimate Fighting Champion.txt,Billy,"Yeah, move over just a little bit.",6
S03E24 The Ultimate Fighting Champion.txt,Billy,What’s the matter?,9
S03E24 The Ultimate Fighting Champion.txt,Billy,How do you know?,10
S03E24 The Ultimate Fighting Champion.txt,Billy,Yeah.,10
S03E24 The Ultimate Fighting Champion.txt,Billy,Like when you go bowling and you know you’re in somebody else’s shoes?,10
S03E24 The Ultimate Fighting Champion.txt,Billy,So it’s-it’s not heeled yet?,15
S03E24 The Ultimate Fighting Champion.txt,Billy,"Thomas, this is gonna be hard, but I wanted it to come from me, and nobody else.",16
S03E24 The Ultimate Fighting Champion.txt,Billy,"It’s me, I’ve been sleeping with your wife.",16
