filename,character,dialogue,scene
S08E23 Rachel Has A Baby.txt,Marc,Oh hi Rachel.,20
S08E23 Rachel Has A Baby.txt,Marc,No nonsense! We’re all in this together.,21
S08E23 Rachel Has A Baby.txt,Marc,Yeah.,21
S08E23 Rachel Has A Baby.txt,Marc,I am so sorry. The doctor insisted on closing the curtain for the exam.,31
S08E23 Rachel Has A Baby.txt,Marc,"Julie’s cervix is dilated a seven centimeters, that’s about four fingers. The doctor let me feel it myself.",31
