filename,character,dialogue,scene
S10E05 Rachels Sister Babysits.txt,Announcer,"Knicks fans, please turn your attention to the big screen on the scoreboard. Someone has a special question to ask.",108
S07E18 Joeys Award.txt,Announcer,Presenting the award for Favorite Returning Male Character is McKensize…,43
S07E22 Chandlers Dad.txt,Announcer,Ladies and gentlemen please welcome the incomparable Helena Handbasket!,48
S03E24 The Ultimate Fighting Champion.txt,Announcer,"From New York City, New York! Appearing in his Ultimate Fighting Championship debut! He’s known for his confrontational business style. Ladies and Gentlemen, introducing Pete Beck-errrr!!",62
S03E24 The Ultimate Fighting Champion.txt,Announcer,"And his opponent, from Hunnington Beach, California! He’s a 300 pound street fighter, Tank Abbottttttt!!!!",63
