filename,character,dialogue,scene
S02E20 Old Yeller Dies.txt,Ernie,"Oh wow, look at this nice deep hole I've been digging. Hey Bert, isn't this a nice hole here. Hey.",44
S02E20 Old Yeller Dies.txt,Ernie,"Bert, Bert. Bert. Hey, what happened to my friend Bert? He was here just a moment ago. Oh no, my old friend Bert is lost.",45
