filename,character,dialogue,scene
S06E13 Rachels Sister.txt,Gunther,You’re paying for that.,63
S06E13 Rachels Sister.txt,Gunther,You’ve sung Happy Birthday to 20 different women today!,63
S06E13 Rachels Sister.txt,Gunther,You are no longer authorized to distribute birthday muffins.,63
S04E21 The Invitation.txt,Gunther,I’m sorry. Was I not supposed to?,119
S04E05 Joeys New Girlfriend.txt,Gunther,Rachel?,4
S04E05 Joeys New Girlfriend.txt,Gunther,When's your birthday?,4
S04E05 Joeys New Girlfriend.txt,Gunther,"Oh, I-I'm just making a list of people's birthdays.",4
S04E05 Joeys New Girlfriend.txt,Gunther,What?,86
S04E05 Joeys New Girlfriend.txt,Gunther,Rachel?,94
S04E05 Joeys New Girlfriend.txt,Gunther,I don't know if you heard about what happened between me and Phoebe the other day_,94
S04E05 Joeys New Girlfriend.txt,Gunther,"Well, we kissed. I-I-I didn't initiate the kiss, but-but I also didn't stop it, and I've been feeling guilty.",94
S04E05 Joeys New Girlfriend.txt,Gunther,"So umm, are we cool?",95
S04E05 Joeys New Girlfriend.txt,Gunther,I knew you'd understand.,96
S09E04 The Sharks.txt,Gunther,HA!,20
S09E04 The Sharks.txt,Gunther,HA!,21
S06E17 Unagi.txt,Gunther,What did I tell you about talking to your friends while you’re working?,8
