filename,character,dialogue,scene
S01E22 The Ick Factor.txt,All,What?,13
S03E05 Frank Jr..txt,All,"Oh, hi.",12
S05E21 The Ball.txt,All,Hey!,69
S05E21 The Ball.txt,All,Congratulations! Congrats!,69
S05E21 The Ball.txt,All,Yeah! That's right. Yeah-yeah! Yeah!,70
S05E21 The Ball.txt,All,What?!,106
S05E21 The Ball.txt,All,That's terrible! I'm sorry!,106
S05E21 The Ball.txt,All,Yeah! As long as we're here!,111
S05E18 Rachel Smokes.txt,All,Surprise!!,95
S05E18 Rachel Smokes.txt,All,Surprise!,96
S04E09 Theyre Going To Party.txt,All,Yay!!,7
S05E06 The Yeti.txt,All,No! Why?,65
S05E06 The Yeti.txt,All,"Why, what happened?",82
S05E06 The Yeti.txt,All,What?!,82
S08E21 The Cooking Class.txt,All,No!,9
S10E14 Princess Consuela.txt,All,Hey.,7
S07E10 The Huliday Armadillo.txt,All,Hey!,9
S07E10 The Huliday Armadillo.txt,All,Ohh! That's great!,11
S04E03 The Cuffs.txt,All,"Oh, yeah. Yeah.",106
S05E15 The Girl Who Hits Joey.txt,All,Hi!,21
S05E15 The Girl Who Hits Joey.txt,All,"Oh yeah, aww!",81
S05E15 The Girl Who Hits Joey.txt,All,"Yeah, get out! Now!",81
S06E20 Mac And C.H.E.E.S.E..txt,All, Ohhhhhh!,34
S02E17 Eddie Moves In.txt,All,No.,2
S02E17 Eddie Moves In.txt,All,OK.,10
S02E17 Eddie Moves In.txt,All,Hey.,47
S02E17 Eddie Moves In.txt,All,Hey.,59
S02E17 Eddie Moves In.txt,All,No.,59
S02E17 Eddie Moves In.txt,All,"Smelly cat, smell-ly cat, it's not your fault.",67
S10E05 Rachels Sister Babysits.txt,All,Hey Phoebe!,4
S05E19 Ross Cant Flirt.txt,All,Caitlin!,90
S01E20 The Evil Orthodontist.txt,All,Oh!... Right!,10
S01E20 The Evil Orthodontist.txt,All,Hey! Hi!,29
S01E20 The Evil Orthodontist.txt,All,Hi. Hi.,75
S01E20 The Evil Orthodontist.txt,All,Bye.,75
S03E09 The Football.txt,All,Yes!!,45
S03E09 The Football.txt,All,Yeah.,47
s03E25 At The Beach.txt,All,Oh!,9
s03E25 At The Beach.txt,All,"Yeah! Yeah, we can!",9
s03E25 At The Beach.txt,All,"No, no!",39
s03E25 At The Beach.txt,All,Noo!!,49
s03E25 At The Beach.txt,All,Ohh!!,52
s03E25 At The Beach.txt,All,Wooooo!!!!,59
s03E25 At The Beach.txt,All,Hey.,70
s03E25 At The Beach.txt,All,"Oh, no!! No, no!",77
S02E11 The Lesbian Wedding.txt,All,"Oh, yeah!",41
S01E19 The Monkey Gets Away.txt,All,Hi.,15
S04E02 The Cat.txt,All,You think?,44
S04E02 The Cat.txt,All,Hey!,46
S05E22 Joeys Big Break.txt,All,"All right, fine.",6
S05E22 Joeys Big Break.txt,All,Why?!,67
S04E13 Rachels Crush.txt,All,What?!,48
S04E13 Rachels Crush.txt,All,Hey!,54
S04E07 Chandler Crosses The Line.txt,All,Yeah! Oh my God!,5
S02E15 Ross And Rachel... You Know.txt,All,Woah!,9
S02E15 Ross And Rachel... You Know.txt,All,Hey.,10
S02E15 Ross And Rachel... You Know.txt,All,Bye.,14
S03E17 The Ski Trip.txt,All,"Absolutely, yeah!",21
S03E17 The Ski Trip.txt,All,Oh!,30
S03E17 The Ski Trip.txt,All,"Oh, yeahhhhh!!!",44
S03E17 The Ski Trip.txt,All,No! Come on!,74
S01E03 The Thumb.txt,All,"Hey, Pheebs! Hi!",3
S01E03 The Thumb.txt,All,Ohh. Ouch.,3
S01E03 The Thumb.txt,All,"Yeah. Yeah, excellent.",12
S01E03 The Thumb.txt,All,"Oh! Oh, God!",17
S01E03 The Thumb.txt,All,Ohhh! Put it out!,17
S01E03 The Thumb.txt,All,"Oh, come on! Come on!",18
S01E03 The Thumb.txt,All,Yeah! We promise! We'll be good!,20
S01E03 The Thumb.txt,All,"Hi, Alan.",32
S01E03 The Thumb.txt,All,Loved him! Yeah! He's great!,36
S01E03 The Thumb.txt,All,Yeah!,36
S01E03 The Thumb.txt,All,What?,40
S01E03 The Thumb.txt,All,Yeah...,40
S01E03 The Thumb.txt,All,WE WON!! Thank you! Yes!,41
S01E03 The Thumb.txt,All,Eww!,51
S01E03 The Thumb.txt,All,Nooo!,51
S01E03 The Thumb.txt,All,"Oh, hey, don't do that! Cut it out!",52
S01E03 The Thumb.txt,All,You're kidding. Oh my God.,69
S01E03 The Thumb.txt,All,Oh! That was Lambchop!,72
S01E03 The Thumb.txt,All,"Oh, yeah! Right!",76
S01E03 The Thumb.txt,All,Mmm.,80
S01E03 The Thumb.txt,All,No no no!,82
S03E22 The Screamer.txt,All,Hey.,3
S03E22 The Screamer.txt,All,Oh!,7
S03E22 The Screamer.txt,All,Hang it up! Hang up the phone!!,100
S02E10 Russ.txt,All,Bye! See you later!,14
S05E14 Everybody Finds Out.txt,All,Good idea! Yes!,4
S05E14 Everybody Finds Out.txt,All,Hey!,22
S05E14 Everybody Finds Out.txt,All,Bye!,33
S05E14 Everybody Finds Out.txt,All,"Yeah, it is! Naked Ross!!",61
S03E18 The Hypnosis Tape.txt,All,Wow!,15
S03E18 The Hypnosis Tape.txt,All,"Got it. Yeah all right. Yeah, okay.",48
S03E18 The Hypnosis Tape.txt,All,Oh-no-no-no-no….,62
