filename,character,dialogue,scene
S04E15 All The Rugby.txt,Devon,"Hey, mate.",20
S04E15 All The Rugby.txt,Devon,Do you realise that we have not seen each other since the night of that U2 concert?,21
S04E15 All The Rugby.txt,Devon,We were playing rugby.,24
S04E15 All The Rugby.txt,Devon,So good then! We’ll see you at Riverside Park at 2:00! Cheers!,25
